time,pressure,twist,height,volume
0.0,5.03,-0.79,0.0,119.81
0.020408,28.679301,-1.348393,-0.509758,120.079363
0.040816,58.013425,-0.36567,-1.518309,119.582521
0.061224,79.195225,0.839169,-3.083836,118.320504
0.081633,92.949327,1.641718,-3.920258,117.172009
0.102041,100.088206,2.877276,-4.953643,113.220011
0.122449,106.467957,4.133504,-6.058487,106.519625
0.142857,112.814942,5.788315,-7.158242,98.512145
0.163265,116.657936,7.493966,-8.432137,91.446664
0.183673,118.772113,9.190208,-9.77476,86.063684
0.204082,120.899125,10.556745,-11.122988,80.518109
0.22449,121.779889,11.903614,-12.471788,74.777336
0.244898,119.656264,12.780666,-13.814011,69.933191
0.265306,117.535357,13.621092,-14.928718,65.799012
0.285714,115.422856,14.516935,-16.03429,61.862714
0.306122,113.290824,15.416399,-16.843257,57.918347
0.326531,110.082873,15.531991,-17.40831,54.365449
0.346939,104.674944,15.059475,-17.78231,51.606865
0.367347,98.940846,14.402029,-17.909468,50.14205
0.387755,88.820422,11.467539,-17.503393,50.03
0.408163,59.180624,10.295513,-17.057446,50.19
0.428571,28.976069,7.829299,-15.985312,50.16
0.44898,8.368345,5.764502,-14.660512,51.015727
0.469388,3.936934,4.722166,-12.468349,54.270349
0.489796,3.504082,3.918093,-9.7867,59.73711
0.510204,3.065495,3.626925,-8.275772,66.54446
0.530612,2.640375,3.585,-7.001004,73.943939
0.55102,2.201585,3.719274,-6.017102,81.183927
0.571429,1.764659,3.950915,-5.677518,87.302005
0.591837,1.463633,3.833809,-5.669,91.546848
0.612245,1.32521,3.36771,-5.750701,94.411277
0.632653,1.183492,2.998021,-5.812,96.71283
0.653061,1.041152,2.811111,-5.68944,98.649704
0.673469,0.89897,2.623764,-5.566682,100.170716
0.693878,0.760715,2.495373,-5.333862,101.272145
0.714286,1.5,2.391956,-5.057316,102.116011
0.734694,1.5,2.31115,-4.856745,102.871568
0.755102,1.5,2.173304,-4.79527,103.711924
0.77551,1.5,1.966654,-4.734003,104.626069
0.795918,1.5,1.848948,-4.796007,105.557408
0.816327,1.5,1.800847,-4.862083,107.04037
0.836735,1.5,1.778,-5.00084,110.090909
0.857143,1.5,1.777431,-5.045,113.336064
0.877551,1.5,1.548504,-4.748849,115.6394
0.897959,1.5,0.969444,-3.863975,116.934515
0.918367,1.5,0.8751,-2.69189,117.325673
0.938776,1.5,0.946571,-1.426637,117.492302
0.959184,1.5,0.457687,-0.481649,118.00851
0.979592,1.5,-0.240875,-0.000277,118.612575
1.0,1.5,-1.185,0.0,118.84
